,0
sex,sex
chr_resp,chr_resp
chr_cvs,chr_cvs
chr_liv,chr_liv
chr_ren,chr_ren
immundis,immundis
immunrx,immunrx
hepfail,hepfail
lymphoma,lymphoma
metast,metast
leukaem,leukaem
immunsup,immunsup
cirrhos,cirrhos
iddm,iddm
arf,arf
gcsverb,gcsverb
gcsmotor,gcsmotor
gcseye,gcseye
intubated,intubated
ventilated,ventilated
elect,elect
age,age
urineop,urineop
temphi,temphi
templo,templo
hrhi,hrhi
hrlo,hrlo
rrhi,rrhi
rrlo,rrlo
systolichi,systolichi
systoliclo,systoliclo
diastolichi,diastolichi
diastoliclo,diastoliclo
maphi,maphi
maplo,maplo
nahi,nahi
nalo,nalo
khi,khi
klo,klo
hco3hi,hco3hi
hco3lo,hco3lo
creathi,creathi
creatlo,creatlo
hcthi,hcthi
hctlo,hctlo
hmgnhi,hmgnhi
hmgnlo,hmgnlo
wcchi,wcchi
wcclo,wcclo
plathi,plathi
platlo,platlo
gluchi,gluchi
gluclo,gluclo
pre_icu_hrs,pre_icu_hrs
